pwsid,year,month,produced_or_delivery,produced_or_delivery_type,population,acre_feet
CA0110003,2014,Sep,water delivered,landscape irrigation,56726,NA
CA0110003,2014,Sep,water delivered,multi-family residential,56726,45.5464896
CA0110003,2014,Sep,water delivered,total retail,56726,875.36496252
CA0110005,2014,Annual,water delivered,landscape irrigation,"1,379,000",11907.284857999999
CA0110005,2014,Annual,water delivered,other pws,"1,379,000",0
CA0110005,2014,Apr,water delivered,multi-family residential,"1,379,000",2522.6258127
CA0110005,2014,Aug,water delivered,agriculture,"1,379,000",15.95821682
CA0110005,2014,Dec,water delivered,other,"1,379,000",23.93732523
CA0110005,2014,Dec,water delivered,other pws,"1,379,000",NA
CA0110005,2014,Jan,water delivered,other,"1,379,000",23.016658874999997
CA0110005,2014,Jul,water delivered,agriculture,"1,379,000",17.79954953
CA0110005,2014,Jul,water delivered,industrial,"1,379,000",1537.5128128499998
CA0110005,2014,Jul,water delivered,single-family residential,"1,379,000",8930.4636435
CA0110005,2014,May,water delivered,commercial/institutional,"1,379,000",2102.18817725
CA0110005,2014,May,water delivered,industrial,"1,379,000",1525.23726145
CA0110005,2014,Oct,water delivered,industrial,"1,379,000",1534.443925
CA0110005,2014,Oct,water delivered,other pws,"1,379,000",NA
CA0110005,2014,Oct,water delivered,single-family residential,"1,379,000",6815.99991485
CA0110005,2014,Sep,water delivered,commercial/institutional,"1,379,000",2092.9815137
CA0110005,2014,Sep,water delivered,single-family residential,"1,379,000",7659.9440736
CA0110006,2014,Annual,water delivered,landscape irrigation,151037,2.390859626025392
CA0110006,2014,Apr,water delivered,industrial,151037,0.13125937928685197
CA0110006,2014,Apr,water delivered,total retail,151037,1.2104428097504687
CA0110006,2014,Aug,water delivered,other,151037,0.0011600394045131056
CA0110006,2014,Dec,water delivered,landscape irrigation,151037,0.3263761657935682
CA0110006,2014,Feb,water delivered,agriculture,151037,NA
CA0110006,2014,Feb,water delivered,industrial,151037,0.12414262960678348
CA0110006,2014,Feb,water delivered,total retail,151037,1.2022734317218606
CA0110006,2014,Jan,water delivered,landscape irrigation,151037,0.11611748928191105
CA0110006,2014,Jan,water delivered,other,151037,5.063664067319112e-4
CA0110006,2014,Jul,water delivered,industrial,151037,0.35310310540707257
CA0110006,2014,Jul,water delivered,total retail,151037,2.0501333431537727
CA0110006,2014,Jun,water delivered,industrial,151037,0.13641204108626334
CA0110006,2014,Jun,water delivered,landscape irrigation,151037,0.3110593492117563
CA0110006,2014,Mar,water delivered,single-family residential,151037,0.626013116424378
CA0110006,2014,May,water delivered,other pws,151037,NA
CA0110006,2014,Nov,water delivered,total retail,151037,1.0036888025508592
CA0110006,2014,Oct,water delivered,agriculture,151037,NA
CA0110006,2014,Oct,water delivered,commercial/institutional,151037,0.1869013751684052
CA0110006,2014,Oct,water delivered,single-family residential,151037,0.4253293683309243
CA0110006,2014,Sep,water delivered,total retail,151037,1.4171231636545538
CA0110008,2014,Annual,water delivered,agriculture,73067,0
CA0110008,2014,Aug,water delivered,commercial/institutional,73067,130.62016961999998
CA0110008,2014,Aug,water delivered,industrial,73067,NA
CA0110008,2014,Dec,water delivered,industrial,73067,NA
CA0110008,2014,Dec,water delivered,single-family residential,73067,457.01678244
CA0110008,2014,Dec,water delivered,total retail,73067,678.48199674
CA0110008,2014,Feb,water delivered,industrial,73067,NA
CA0110008,2014,Feb,water delivered,multi-family residential,73067,100.97133327
CA0110008,2014,Feb,water delivered,other pws,73067,NA
CA0110008,2014,Jan,water delivered,landscape irrigation,73067,192.70480998
CA0110008,2014,Jan,water delivered,single-family residential,73067,435.9744879
CA0110008,2014,Jul,water delivered,agriculture,73067,NA
CA0110008,2014,Jul,water delivered,industrial,73067,NA
CA0110008,2014,Jul,water delivered,landscape irrigation,73067,419.71641132
CA0110008,2014,Jun,water delivered,agriculture,73067,NA
CA0110008,2014,Jun,water delivered,industrial,73067,NA
CA0110008,2014,Jun,water delivered,multi-family residential,73067,61.27426179
CA0110008,2014,Jun,water delivered,other pws,73067,NA
CA0110008,2014,May,water delivered,industrial,73067,NA
CA0110008,2014,May,water delivered,other pws,73067,NA
CA0110008,2014,Nov,water delivered,industrial,73067,NA
CA0110008,2014,Nov,water delivered,multi-family residential,73067,97.18344477
CA0110008,2014,Nov,water delivered,other pws,73067,NA
CA0110008,2014,Nov,water delivered,total retail,73067,1053.87552123
CA0110008,2014,Oct,water delivered,single-family residential,73067,972.11222619
CA0110008,2014,Sep,water delivered,other pws,73067,NA
CA0110009,2014,Apr,water delivered,commercial/institutional,79547,133.33597089
CA0110009,2014,Apr,water delivered,other,79547,NA
CA0110009,2014,Apr,water delivered,single-family residential,79547,328.12985877
CA0110009,2014,Aug,water delivered,landscape irrigation,79547,1034.89475631
CA0110009,2014,Dec,water delivered,industrial,79547,NA
CA0110009,2014,Feb,water delivered,agriculture,79547,0.10330605
CA0110009,2014,Feb,water delivered,commercial/institutional,79547,126.09766032
CA0110009,2014,Feb,water delivered,industrial,79547,NA
CA0110009,2014,Feb,water delivered,landscape irrigation,79547,68.77657671
CA0110009,2014,Feb,water delivered,multi-family residential,79547,107.06868591
CA0110009,2014,Feb,water delivered,total retail,79547,615.50203728
CA0110009,2014,Jan,water delivered,agriculture,79547,0.01377414
CA0110009,2014,Jan,water delivered,landscape irrigation,79547,16.32465159
CA0110009,2014,Jun,water delivered,agriculture,79547,0.07346208
CA0110009,2014,Jun,water delivered,landscape irrigation,79547,582.05842536
CA0110009,2014,Mar,water delivered,landscape irrigation,79547,20.45230221
CA0110009,2014,Mar,water delivered,other,79547,NA
CA0110006,2014,Annual,water delivered,commercial/institutional,151037,2.286529732914737
CA0110006,2014,Annual,water delivered,industrial,151037,2.572322932874228
CA0110003,2014,Annual,water delivered,other pws,56726,0
CA0110006,2014,Annual,water delivered,other pws,151037,0
CA0110009,2014,Annual,water delivered,total retail,79547,12620.60398449
CA0110003,2014,Apr,water delivered,agriculture,56726,NA
CA0110006,2014,Apr,water delivered,commercial/institutional,151037,0.16678174994092393
CA0110009,2014,Apr,water delivered,landscape irrigation,79547,172.51421643
CA0110009,2014,Apr,water delivered,multi-family residential,79547,97.23394995
CA0110010,2014,Apr,water delivered,other,40,NA
CA0110001,2014,Apr,water delivered,other pws,"340,000",NA
CA0110008,2014,Apr,water delivered,single-family residential,73067,375.74246937
CA0110003,2014,Aug,water delivered,agriculture,56726,NA
CA0110010,2014,Aug,water delivered,agriculture,40,720.8816299474299
CA0110008,2014,Aug,water delivered,total retail,73067,1487.19619149
CA0110008,2014,Dec,water delivered,commercial/institutional,73067,79.23344466
CA0110001,2014,Dec,water delivered,multi-family residential,"340,000",732.00600909
CA0110008,2014,Dec,water delivered,multi-family residential,73067,54.65578752
CA0110011,2014,Dec,water delivered,total retail,27033,222.15621699
CA0110001,2014,Feb,water delivered,landscape irrigation,"340,000",35.1929277
CA0110003,2014,Feb,water delivered,multi-family residential,56726,32.47483074
CA0110018,2014,Jan,water delivered,landscape irrigation,0,NA
CA0110008,2014,Jan,water delivered,multi-family residential,73067,68.73525429
CA0110008,2014,Jan,water delivered,other,73067,NA
CA0110010,2014,Jan,water delivered,single-family residential,40,0.05279713734191394
CA0110001,2014,Jul,water delivered,landscape irrigation,"340,000",153.4209627
CA0110008,2014,Jun,water delivered,commercial/institutional,73067,71.90560218
CA0110011,2014,Jun,water delivered,industrial,27033,0
CA0110010,2014,Jun,water delivered,landscape irrigation,40,NA
CA0110001,2014,Jun,water delivered,other pws,"340,000",NA
CA0110006,2014,Jun,water delivered,other pws,151037,NA
CA0110006,2014,Jun,water delivered,single-family residential,151037,0.638807307634471
CA0110008,2014,Jun,water delivered,total retail,73067,997.9226688599999
CA0110010,2014,Jun,water delivered,total retail,40,21.99894737165146
CA0110003,2014,Mar,water delivered,commercial/institutional,56726,109.27025262
CA0110003,2014,Mar,water delivered,multi-family residential,56726,30.78061152
CA0110009,2014,Mar,water delivered,multi-family residential,79547,73.06951701
CA0110001,2014,Mar,water delivered,total retail,"340,000",2425.95433767
CA0110003,2014,Mar,water delivered,total retail,56726,436.55529746999997
CA0110006,2014,May,water delivered,commercial/institutional,151037,0.23361904674222267
CA0110008,2014,May,water delivered,commercial/institutional,73067,152.55778326
CA0110006,2014,May,water delivered,other,151037,0.0021911855418580884
CA0110009,2014,May,water delivered,other pws,79547,NA
CA0110005,2014,May,water delivered,single-family residential,"1,379,000",7939.212867949999
CA0110006,2014,May,water delivered,total retail,151037,1.7514508164774698
CA0110009,2014,May,water delivered,total retail,79547,696.62024343
CA0110018,2014,May,water delivered,total retail,0,0
CA0110003,2014,Nov,water delivered,agriculture,56726,NA
CA0110005,2014,Nov,water delivered,agriculture,"1,379,000",9.20666355
CA0110009,2014,Nov,water delivered,agriculture,79547,0.0229569
CA0110006,2014,Nov,water delivered,commercial/institutional,151037,0.11071931649741754
CA0110011,2014,Nov,water delivered,commercial/institutional,27033,82.97082798
CA0110001,2014,Nov,water delivered,industrial,"340,000",412.56992835
CA0110005,2014,Nov,water delivered,landscape irrigation,"1,379,000",484.8842803
CA0110006,2014,Nov,water delivered,landscape irrigation,151037,0.15305768587483237
CA0110010,2014,Nov,water delivered,multi-family residential,40,NA
CA0110005,2014,Nov,water delivered,other pws,"1,379,000",NA
CA0110006,2014,Nov,water delivered,other pws,151037,NA
CA0110018,2014,Nov,water delivered,single-family residential,0,NA
CA0110001,2014,Oct,water delivered,agriculture,"340,000",0.05280087
CA0110005,2014,Oct,water delivered,commercial/institutional,"1,379,000",1979.43266325
CA0110009,2014,Oct,water delivered,industrial,79547,NA
CA0110018,2014,Oct,water delivered,landscape irrigation,0,NA
CA0110009,2014,Oct,water delivered,other,79547,NA
CA0110008,2014,Oct,water delivered,other pws,73067,NA
CA0110003,2014,Sep,water delivered,other,56726,0.94352859
CA0110009,2014,Sep,water delivered,other pws,79547,NA
CA0110018,2014,Sep,water delivered,other pws,0,56.92908722084634
CA0110005,2014,Sep,water delivered,total retail,"1,379,000",15330.015477105
CA0110010,2014,Annual,water produced,groundwater wells,40,7503.123904465
CA0110006,2014,Annual,water produced,purchased or received from another pws,151037,17362.29745801985
CA0110010,2014,Annual,water produced,purchased or received from another pws,40,0
CA0110006,2014,Annual,water produced,sold to another pws,151037,0
CA0110010,2014,Annual,water produced,sold to another pws,40,28667.708961989996
CA0110009,2014,Annual,water produced,total amount of potable water,79547,8495.817057304499
CA0110018,2014,Apr,water produced,groundwater wells,0,11.117240702038663
CA0110010,2014,Apr,water produced,non-potable (total excluded recycled),40,274.05168500499997
