pwsid,org_id,year,source_type,source_status,number_of_sources
CA0310003,55,2022,purchased grounwater,approved,0
CA0310003,55,2022,purchased grounwater,new,0
CA0310003,55,2022,purchased surface water,approved,0
CA0310003,55,2022,purchased surface water,new,0
CA0310003,55,2022,standby sources,approved,0
CA0310003,55,2022,standby sources,new,0
CA0310003,55,2022,surface water,approved,1
CA0310003,55,2022,surface water,new,0
CA0310012,55,2022,emergency interties,approved,0
CA0310012,55,2022,emergency interties,new,0
CA0310012,55,2022,groundwater,approved,0
CA0310012,55,2022,groundwater,new,0
CA0310012,55,2022,purchased grounwater,approved,0
CA0310012,55,2022,purchased grounwater,new,0
CA0310012,55,2022,purchased surface water,approved,0
CA0310012,55,2022,purchased surface water,new,0
CA0310012,55,2022,standby sources,approved,0
CA0310012,55,2022,standby sources,new,0
CA0310012,55,2022,surface water,approved,1
CA0310012,55,2022,surface water,new,0
CA0410002,388,2022,emergency interties,approved,0
CA0410002,388,2022,emergency interties,new,NA
CA0410002,388,2022,groundwater,approved,54
CA0410002,388,2022,groundwater,new,NA
CA0410002,388,2022,purchased grounwater,approved,0
CA0410002,388,2022,purchased grounwater,new,NA
CA0410002,388,2022,purchased surface water,approved,0
CA0410002,388,2022,purchased surface water,new,NA
CA0410002,388,2022,standby sources,approved,1
CA0410002,388,2022,standby sources,new,NA
CA0410002,388,2022,surface water,approved,0
CA0410002,388,2022,surface water,new,NA
CA0410004,NA,2022,emergency interties,approved,0
CA0410004,NA,2022,emergency interties,new,NA
CA0410004,NA,2022,groundwater,approved,7
CA0410004,NA,2022,groundwater,new,NA
CA0410004,NA,2022,purchased grounwater,approved,0
CA0410004,NA,2022,purchased grounwater,new,NA
CA0410004,NA,2022,purchased surface water,approved,0
CA0410004,NA,2022,purchased surface water,new,NA
CA0410004,NA,2022,standby sources,approved,0
CA0410004,NA,2022,standby sources,new,NA
CA0410004,NA,2022,surface water,approved,0
CA0410004,NA,2022,surface water,new,NA
CA0410005,412,2022,emergency interties,approved,0
CA0410005,412,2022,emergency interties,new,NA
