pwsid,year,source_type,source_name
CA0202503,2022,SourcesGWGrid,"[{""Opt1"":""002"",""Opt2"":""WELL 02"",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202503,2022,SourcesGWNotListedGrid,NA
CA0202503,2022,SourcesSWGrid,NA
CA0202503,2022,SourcesSWNotListedGrid,NA
CA0202504,2022,SourcesGWGrid,"[{""Opt1"":""003"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""},{""Opt1"":""004"",""Opt2"":""WELL NIO. 2                             "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202504,2022,SourcesGWNotListedGrid,NA
CA0202504,2022,SourcesSWGrid,"[{""Opt1"":""001"",""Opt2"":""CREEK INTAKE - RAW"",""Opt3"":""A"",""Opt4"":""Intake Permanent""}]"
CA0202504,2022,SourcesSWNotListedGrid,NA
CA0202505,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""HAND PUMP"",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202505,2022,SourcesGWNotListedGrid,NA
CA0202505,2022,SourcesSWGrid,NA
CA0202505,2022,SourcesSWNotListedGrid,NA
CA0202506,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL                                    "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202506,2022,SourcesGWNotListedGrid,NA
CA0202506,2022,SourcesSWGrid,NA
CA0202506,2022,SourcesSWNotListedGrid,NA
CA0202509,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""SPRING"",""Opt3"":""A"",""Opt4"":""Spring Permanent""},{""Opt1"":""002"",""Opt2"":""SPRING 01"",""Opt3"":""A"",""Opt4"":""Spring Permanent""},{""Opt1"":""003"",""Opt2"":""SPRING 02"",""Opt3"":""A"",""Opt4"":""Spring Permanent""}]"
CA0202509,2022,SourcesGWNotListedGrid,NA
CA0202509,2022,SourcesSWGrid,NA
CA0202509,2022,SourcesSWNotListedGrid,NA
CA0202512,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL                                    "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202512,2022,SourcesGWNotListedGrid,NA
CA0202512,2022,SourcesSWGrid,NA
CA0202512,2022,SourcesSWNotListedGrid,NA
CA0202513,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""SPRING"",""Opt3"":""A"",""Opt4"":""Spring Permanent""}]"
CA0202513,2022,SourcesGWNotListedGrid,NA
CA0202513,2022,SourcesSWGrid,NA
CA0202513,2022,SourcesSWNotListedGrid,NA
CA0202515,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202515,2022,SourcesGWNotListedGrid,NA
CA0202515,2022,SourcesSWGrid,NA
CA0202515,2022,SourcesSWNotListedGrid,NA
CA0202516,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202516,2022,SourcesGWNotListedGrid,NA
CA0202516,2022,SourcesSWGrid,NA
CA0202516,2022,SourcesSWNotListedGrid,NA
CA0202517,2022,SourcesGWGrid,"[{""Opt1"":""006"",""Opt2"":""SILVERTIP CAMPGROUND WELL-06            "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202517,2022,SourcesGWNotListedGrid,NA
CA0202517,2022,SourcesSWGrid,NA
CA0202517,2022,SourcesSWNotListedGrid,NA
CA0202519,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202519,2022,SourcesGWNotListedGrid,NA
CA0202519,2022,SourcesSWGrid,NA
CA0202519,2022,SourcesSWNotListedGrid,NA
CA0202520,2022,SourcesGWGrid,"[{""Opt1"":""001"",""Opt2"":""WELL 01                                 "",""Opt3"":""A"",""Opt4"":""Well Permanent""}]"
CA0202520,2022,SourcesGWNotListedGrid,NA
CA0202520,2022,SourcesSWGrid,NA
CA0202520,2022,SourcesSWNotListedGrid,NA
