pwsid,population
CA1500564,25
CA1500566,26
CA1500569,97
CA1500571,73
CA1500575,165
CA1500578,122
CA1500579,27
CA1500584,90
CA1500585,100
CA1500588,438
CA1500591,47
CA1500593,80
CA1500599,44
CA1502056,90
CA1502068,238
CA1502074,550
CA1502154,800
CA1502164,54
CA1502221,250
CA1502229,887
CA1502231,940
CA1502232,175
CA1502247,82
CA1502260,154
CA1502315,225
CA1502320,2800
CA1502383,32
CA1502449,44
CA1502465,45
CA1502545,27
CA1502564,68
CA1502569,35
CA1502600,64
CA1502607,60
CA1502608,79
CA1502619,28
CA1502620,48
CA1502622,50
CA1502629,39
CA1502645,32
CA1502653,150
CA1502659,40
CA1502663,73
CA1502670,240
CA1502690,119
CA1502699,35
CA1502744,39
CA1502750,40
CA1503140,500
CA1503226,188
CA1503270,500
CA1503329,148
CA1503368,204
CA1503475,380
CA1503509,35
CA1503526,29
CA1503536,100
CA1503669,28
CA1503683,100
CA1503684,36
CA1510001,19669
CA1510002,2253
CA1510003,266213
CA1510004,900
CA1510005,51428
CA1510006,32517
CA1510007,2691
CA1510009,2500
CA1510011,1508
CA1510012,19057
CA1510013,15506
CA1510014,4699
CA1510015,39756
CA1510016,303
CA1510017,39478
CA1510018,17516
CA1510019,21036
CA1510020,9094
CA1510021,22608
CA1510022,19832
CA1510023,1103
CA1510024,11411
CA1510025,4831
CA1510026,310
CA1510027,968
CA1510028,1600
CA1510029,36644
CA1510031,156770
CA1510032,14198
CA1510033,2602
CA1510036,805
CA1510038,5592
CA1510039,1125
CA1510040,0
CA1510042,777
CA1510043,288
CA1510045,9808
CA1510046,1726
CA1510049,297
CA1510051,1379
CA1510052,716
CA1510053,0
CA1510054,642
CA1510055,22620
CA1510056,744
CA1510701,12355
CA1510703,4800
CA1510800,4526
CA1510801,5042
CA1510802,5000
CA1600002,400
CA1600009,175
CA1600011,750
CA1600013,388
CA1600015,908
CA1600017,416
CA1600023,73
CA1600293,50
CA1600507,69
CA1610001,4143
CA1610002,13819
CA1610003,62127
CA1610004,21835
CA1610005,27038
CA1610006,1277
CA1610007,1750
CA1610009,1136
CA1610700,14000
CA1700502,373
CA1700508,300
CA1700518,693
CA1700519,30
CA1700527,40
CA1700536,83
CA1700546,252
CA1700549,150
CA1700554,469
CA1700561,86
CA1700568,550
CA1700579,60
CA1700580,50
CA1700584,104
CA1700589,32
CA1700592,277
CA1700595,255
CA1700596,65
CA1700606,70
CA1700609,73
CA1700610,152
CA1700630,152
CA1700657,25
CA1700674,200
CA1700702,56
CA1710001,2359
CA1710002,4617
CA1710003,9510
CA1710004,4762
CA1710005,2174
CA1710006,5928
CA1710007,4092
CA1710008,2731
CA1710009,989
CA1710010,1355
CA1710011,1508
CA1710012,3308
CA1710013,1481
CA1710014,4360
CA1710015,6235
CA1710018,1601
CA1710021,4145
CA1710022,2003
CA1710800,100
CA1800503,140
CA1800511,565
CA1800512,400
CA1800516,70
CA1800522,25
CA1800523,80
CA1800524,62
CA1800529,316
CA1800534,300
CA1800573,247
CA1800574,238
CA1800575,248
CA1800576,196
CA1800577,425
CA1805004,8641
CA1805007,2114
CA1810001,7811
CA1810002,1662
CA1810003,450
CA1810004,950
CA1900007,107
CA1900038,60
CA1900046,7000
CA1900055,40
CA1900062,184
CA1900074,57
CA1900075,50
CA1900100,158
CA1900102,495
CA1900130,700
CA1900145,76
CA1900146,326
CA1900154,75
CA1900155,129
CA1900158,55
CA1900301,450
CA1900303,276
CA1900520,71
CA1900523,749
CA1900529,80
CA1900537,109
CA1900541,198
CA1900542,44
CA1900555,29
CA1900563,1100
CA1900599,25
CA1900616,35
CA1900636,215
CA1900649,450
CA1900693,140
CA1900707,450
CA1900717,28
CA1900721,140
CA1900750,825
CA1900751,650
CA1900767,70
CA1900785,24
CA1900794,445
CA1900801,34
CA1900803,660
CA1900804,98
CA1900808,80
CA1900809,571
CA1900817,131
CA1900843,372
CA1900849,524
CA1900868,35
CA1900886,550
CA1900901,125
CA1900903,162
CA1900907,540
CA1900913,535
CA1900936,158
CA1900942,175
CA1900961,56
CA1900975,99
CA1907014,100
CA1907028,211
CA1909006,782
CA1910001,83750
CA1910002,3134
CA1910003,44738
CA1910004,50230
CA1910005,12620
CA1910006,4096
CA1910007,110044
CA1910009,68714
CA1910010,1430
CA1910011,54309
CA1910012,1129
CA1910013,46300
CA1910017,135022
CA1910018,5999
CA1910019,49578
CA1910020,9949
CA1910021,23802
CA1910022,36455
CA1910023,1003
CA1910024,39279
CA1910025,870
CA1910026,74877
CA1910027,621
CA1910028,32665
CA1910029,6111
CA1910030,38029
CA1910032,0
CA1910033,143464
CA1910034,109946
CA1910035,1953
CA1910036,151902
CA1910038,22968
CA1910039,254300
CA1910040,16898
CA1910041,0
CA1910042,40600
CA1910043,201334
CA1910044,52558
CA1910045,0
CA1910046,5249
CA1910047,44729
CA1910048,0
CA1910049,15275
CA1910050,4207
CA1910051,82041
CA1910052,20859
CA1910053,686
CA1910054,9300
CA1910056,1790
CA1910059,56793
CA1910060,8213
CA1910061,4847
CA1910062,32206
CA1910063,16126
CA1910064,2985
CA1910065,460682
CA1910066,325
CA1910067,3868811
CA1910070,204393
CA1910072,10615
CA1910073,20256
CA1910075,579
CA1910077,62970
CA1910079,66967
CA1910081,2300
CA1910083,34668
CA1910084,5500
CA1910085,6349
CA1910086,9500
CA1910087,0
CA1910090,37787
CA1910091,26554
CA1910092,62183
CA1910096,17154
CA1910098,42997
CA1910099,360
CA1910101,25000
CA1910102,126994
CA1910103,5507
CA1910104,70819
CA1910105,55200
CA1910108,11292
CA1910117,5300
CA1910124,170950
CA1910125,22051
CA1910126,151713
CA1910127,33300
CA1910128,0
CA1910130,19100
CA1910134,96657
CA1910139,47731
CA1910140,9600
CA1910142,56426
CA1910143,23946
CA1910144,45000
CA1910146,93076
CA1910147,4385
CA1910148,11000
CA1910149,11795
CA1910152,76443
CA1910153,15021
CA1910154,25329
CA1910155,275369
CA1910156,40856
CA1910157,25252
CA1910158,548
CA1910159,14000
CA1910160,3132
CA1910161,24171
CA1910163,7775
CA1910165,4604
CA1910166,10070
CA1910167,28000
CA1910169,16180
CA1910173,49954
CA1910174,66045
CA1910179,105451
CA1910185,5701
CA1910186,24703
CA1910189,9349
CA1910191,17790
CA1910194,54660
CA1910195,8016
CA1910199,0
CA1910200,1437
CA1910203,11183
CA1910204,32719
CA1910205,168843
CA1910211,72964
CA1910212,26688
CA1910213,106183
CA1910218,5682
CA1910223,25907
CA1910225,72602
CA1910234,100449
CA1910239,63066
CA1910240,110329
CA1910241,2336
CA1910242,958
CA1910243,905
CA1910244,1190
CA1910245,19219
CA1910246,1500
CA1910247,9967
CA1910248,4929
CA1910249,1362
CA1910250,15713
CA1910255,6453
CA1910801,100
CA2000202,551
CA2000206,736
CA2000293,300
CA2000501,42
CA2000502,250
CA2000504,202
CA2000506,200
CA2000509,137
CA2000511,45
CA2000512,250
CA2000521,498
CA2000524,175
CA2000526,74
CA2000527,110
CA2000529,50
CA2000530,80
CA2000533,120
CA2000534,45
CA2000538,137
CA2000544,162
CA2000549,239
CA2000551,200
CA2000552,150
CA2000553,48
CA2000554,568
CA2000557,100
CA2000561,264
CA2000567,862
CA2000573,40
CA2000589,30
CA2000592,35
CA2000593,138
CA2000595,450
